NAME	9CT0_alpha2_score	9CRV_alpha1_score	docking_ratio
F3_CHEMBL13794	-6.8330	-6.7680	1.0096
F3_CHEMBL14006	-6.9090	-6.9250	0.9977
F3_CHEMBL17547	-6.9370	-6.6470	1.0436
F3_CHEMBL27143	-7.3970	-7.5590	0.9786
F3_CHEMBL281992	-8.1980	-8.4930	0.9653
F3_CHEMBL28363	-9.5190	-9.5500	0.9968
F3_CHEMBL287742	-8.2800	-9.0720	0.9127
F3_CHEMBL288670	-7.8290	-8.3860	0.9336
F3_CHEMBL417498	-7.0380	-8.1520	0.8633
F3_CHEMBL418010	-9.8340	-9.9350	0.9898
F3_CHEMBL422577	-7.1820	-8.3420	0.8609
F3_CHEMBL428687	-8.8760	-9.4690	0.9374
